 tweet_id retweet_status
525 790987426131050500 False
526 693262851218264065 "No data"
527 813112105746448384 False
528 701601587219795968 "No data"
529 668932921458302977 "No data"
530 694001791655137281 "No data"
531 860177593139703809 True
532 670428280563085312 "No data"
533 883117836046086144 False
534 748977405889503236 "No data"
535 820078625395449857 False
536 666804364988780544 "No data"
537 702217446468493312 "No data"
538 672222792075620352 "No data"
539 866334964761202691 False
540 852226086759018497 False
541 871102520638267392 False
542 670421925039075328 "No data"
543 678767140346941444 "No data"
544 693280720173801472 "No data"
545 697516214579523584 "No data"
546 707741517457260545 "No data"
547 690360449368465409 "No data"
548 753375668877008896 "No data"
549 779834332596887552 False
550 694206574471057408 "No data"
551 697995514407682048 "No data"
552 863907417377173506 False
553 672205392827572224 "No data"
554 816091915477250048 False
555 757597904299253760 "No data"
556 670727704916926465 "No data"
557 675517828909424640 "No data"
558 684959798585110529 "No data"
559 800751577355128832 False
560 683481228088049664 "No data"
561 823269594223824897 True
562 666739327293083650 "No data"
563 768909767477751808 True
564 679001094530465792 "No data"
565 749417653287129088 "No data"
566 805958939288408065 True
567 832998151111966721 False
568 687317306314240000 "No data"
569 762699858130116608 False
570 702598099714314240 "No data"
571 888202515573088257 "No data"
572 707038192327901184 "No data"
573 676146341966438401 "No data"
574 796177847564038144 True
575 667491009379606528 "No data"
576 688179443353796608 "No data"
577 697943111201378304 "No data"
578 871032628920680449 False
579 673342308415348736 "No data"
580 846139713627017216 False
581 670411370698022913 "No data"
582 861005113778896900 False
583 673148804208660480 "No data"
584 823322678127919110 False
585 667171260800061440 "No data"
586 667192066997374976 "No data"
587 666435652385423360 "No data"
588 827228250799742977 "No data"
589 779377524342161408 False
590 778286810187399168 False
591 668979806671884288 "No data"
592 696100768806522880 "No data"
593 678643457146150913 "No data"
594 674053186244734976 "No data"
595 775085132600442880 False
596 790337589677002753 False
597 758828659922702336 False
598 703425003149250560 "No data"
599 790723298204217344 True
600 676533798876651520 "No data"
601 758355060040593408 "No data"
602 704364645503647744 "No data"
603 778990705243029504 False
604 668142349051129856 "No data"
605 835536468978302976 True
606 875747767867523072 False
607 813066809284972545 False
608 766078092750233600 True
609 709519240576036864 "No data"
610 687476254459715584 "No data"
611 667437278097252352 "No data"
612 796125600683540480 False
613 724771698126512129 "No data"
614 712809025985978368 "No data"
615 761750502866649088 True
616 743595368194129920 "No data"
617 882045870035918850 False
618 873337748698140672 True
619 798340744599797760 True
620 687124485711986689 "No data"
621 684538444857667585 "No data"
622 679405845277462528 "No data"
623 887517139158093824 False
624 690959652130045952 "No data"
625 704347321748819968 "No data"
626 746726898085036033 "No data"
627 667878741721415682 "No data"
628 715342466308784130 "No data"
629 669567591774625800 "No data"
630 683834909291606017 "No data"
631 700864154249383937 "No data"
632 674036086168010753 "No data"
633 666049248165822465 "No data"
634 850380195714523136 False
635 832682457690300417 False
636 683852578183077888 "No data"
637 686034024800862208 "No data"
638 881536004380872706 False
639 884876753390489601 False
640 729838605770891264 "No data"
641 759446261539934208 False
642 751793661361422336 "No data"
643 666418789513326592 "No data"
644 744334592493166593 "No data"
645 683773439333797890 "No data"
646 878281511006478336 False
647 834089966724603904 False
648 755206590534418437 "No data"
649 844979544864018432 False
650 668248472370458624 "No data"
651 673350198937153538 "No data"
652 669603084620980224 "No data"
653 798694562394996736 True
654 747219827526344708 "No data"
655 716802964044845056 "No data"
656 851224888060895234 False
657 672902681409806336 "No data"
658 784057939640352768 False
659 808106460588765185 False
660 671520732782923777 "No data"
661 680070545539371008 "No data"
662 781524693396357120 False
663 671151324042559489 "No data"
664 679877062409191424 "No data"
665 740359016048689152 "No data"
666 683078886620553216 "No data"
667 862096992088072192 False
668 709449600415961088 "No data"
669 674318007229923329 "No data"
670 691444869282295808 "No data"
671 688385280030670848 "No data"
672 671362598324076544 "No data"
673 687494652870668288 "No data"
674 681654059175129088 "No data"
675 793241302385262592 False
676 667369227918143488 "No data"
677 670434127938719744 "No data"
678 713900603437621249 "No data"
679 802600418706604034 False
680 796759840936919040 False
681 736365877722001409 "No data"
682 838083903487373313 False
683 724983749226668032 "No data"
684 806629075125202948 False
685 678399652199309312 "No data"
686 689289219123089408 "No data"
687 736225175608430592 "No data"
688 680440374763077632 "No data"
689 686386521809772549 "No data"
690 671882082306625538 "No data"
691 822163064745328640 True
692 674265582246694913 "No data"
693 787717603741622272 False
694 817536400337801217 False
695 675497103322386432 "No data"
696 794332329137291264 False
697 708834316713893888 "No data"
698 827933404142436356 False
699 844223788422217728 False
700 667070482143944705 "No data"
701 670465786746662913 "No data"
702 684222868335505415 "No data"
703 834477809192075265 True
704 680889648562991104 "No data"
705 706265994973601792 "No data"
706 667176164155375616 "No data"
707 830097400375152640 False
708 831926988323639298 False
709 697575480820686848 "No data"
710 669583744538451968 "No data"
711 692142790915014657 "No data"
712 675145476954566656 "No data"
713 815390420867969024 False
714 674632714662858753 "No data"
715 828408677031882754 False
716 782598640137187329 False
717 666082916733198337 "No data"
718 743895849529389061 "No data"
719 748346686624440324 "No data"
720 796865951799083009 False
721 881906580714921986 False
722 689905486972461056 "No data"
723 689993469801164801 "No data"
724 693582294167244802 "No data"
725 671855973984772097 "No data"
726 680801747103793152 "No data"
727 751583847268179968 "No data"
728 787322443945877504 False
729 691820333922455552 "No data"
